IndividualID,FragID,ReefZone,LocationID,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,time_without_bleaching,time_alive,min_health_score,time_to_recovery,ITS2,SurvivalT12,tempPC1,tempPC2
EXP15,EXP15_T2,Windward,FR2,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T11,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,NA,1.02376184,0,12,7,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_T2,Windward,FR2,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T12,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,NA,1.023274748,0,12,7,2,NA,C8,1,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T0,4/2/2024,30.8,Alive,D,3,NoBleaching,0,6.245,NA,1.021593521,16.90640116,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T1,10/2/2024,29.7,Alive,C,3,NoBleaching,0,6.237,NA,1.021972254,16.89543681,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T2,18/2/2024,30.3,Alive,C,3,NoBleaching,0,6.39,Pink,1.021766746,17.30395281,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T3,25/2/2024,29.6,Alive,C,3,NoBleaching,0,6.397,NA,1.022006253,17.32984676,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T4,2/3/2024,28.6,Alive,C,3,NoBleaching,0,6.418,Pink,1.02234225,17.39651163,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T5,9/3/2024,26.5,PartiallyDead,C,2,NoBleaching,0,6.386,RTN tips,1.023023824,17.32953577,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T6,16/3/2024,26.8,Dead,NA,NA,NA,NA,NA,NA,1.022928476,0,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T7,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,NA,1.023149895,0,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T8,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,NA,1.022960334,0,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T9,6/4/2024,28.3,Dead,NA,NA,NA,NA,NA,NA,1.022441623,0,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T10,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,NA,1.023243649,0,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T11,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,NA,1.02376184,0,12,6,2,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_C,Windward,FR2,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T12,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,NA,1.023274748,0,12,6,2,NA,C8,1,-5.29763619,-0.422739886
EXP15,EXP15_T1,Windward,FR2,1,T1_1,Tank5,16/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T0,4/2/2024,30.8,Alive,D,5,NoBleaching,0,10.955,NA,1.021593521,29.65726577,12,6,3,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_T1,Windward,FR2,1,T1_1,Tank5,16/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T1,10/2/2024,29.7,Alive,C,4,NoBleaching,0,11.644,NA,1.021972254,31.54248296,12,6,3,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_T1,Windward,FR2,1,T1_1,Tank5,16/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T2,17/2/2024,29.3,Alive,C,3,NoBleaching,0,9.986,NA,1.022107816,27.05725286,12,6,3,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_T1,Windward,FR2,1,T1_1,Tank5,16/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T3,24/2/2024,30.1,Alive,C,3,NoBleaching,0,11.843,NA,1.021835536,32.0742223,12,6,3,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_T1,Windward,FR2,1,T1_1,Tank5,16/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T4,3/3/2024,28.6,Alive,C,3,NoBleaching,0,5.408,Pink; RTN,1.02234225,14.65882438,12,6,3,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_T1,Windward,FR2,1,T1_1,Tank5,16/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T5,9/3/2024,26.5,PartiallyDead,C,3,NoBleaching,0,11.661,"Pink, RTN",1.023023824,31.64417736,12,6,3,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_T1,Windward,FR2,1,T1_1,Tank5,16/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T6,16/3/2024,26.8,Dead,NA,NA,NA,NA,NA,NA,1.022928476,0,12,6,3,NA,C8,NA,-5.29763619,-0.422739886
EXP15,EXP15_T1,Windward,FR2,1,T1_1,Tank5,16/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T7,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,NA,1.023149895,0,12,6,3,NA,C8,NA,-5.29763619,-0.422739886
