IndividualID,FragID,LocationID,ReefZone,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,ITS2,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,max_bleaching,SurvivalT12,max_bleaching_adj,tempPC2,tempPC1
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T2,18/2/2024,30.3,Alive,C,3,NoBleaching,0,6.39,Pink,1.021766746,17.30395281,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T3,25/2/2024,29.6,Alive,C,3,NoBleaching,0,6.397,NA,1.022006253,17.32984676,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T4,2/3/2024,28.6,Alive,C,3,NoBleaching,0,6.418,Pink,1.02234225,17.39651163,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T5,9/3/2024,26.5,PartiallyDead,C,2,NoBleaching,0,6.386,RTN tips,1.023023824,17.32953577,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T6,16/3/2024,26.8,Dead,NA,NA,NA,NA,NA,NA,1.022928476,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T7,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,NA,1.023149895,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T8,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,NA,1.022960334,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T9,6/4/2024,28.3,Dead,NA,NA,NA,NA,NA,NA,1.022441623,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T10,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,NA,1.023243649,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T11,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,NA,1.02376184,0,0,Dead,1.00E-06,-0.840622839,1.937431223
